date,sku,sales,is_promo,discount,price,day_of_week,month,year,day_of_month,is_weekend,is_holiday,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_14,rolling_std_7,days_since_promo,promo_freq_28
2023-02-22,SKU001,98,0,0,100.0,2,2,2023,22,0,0,69.0,59.0,71.0,101.0,70.57142857142857,81.64285714285714,10.130106002359845,2,0.21428571428571427
2023-02-23,SKU001,89,1,15,85.0,3,2,2023,23,0,0,98.0,69.0,140.0,142.0,76.14285714285714,83.57142857142857,13.018302134924886,2,0.21428571428571427
2023-02-24,SKU001,74,1,15,85.0,4,2,2023,24,0,0,89.0,65.0,75.0,153.0,79.0,79.92857142857143,13.379088160259629,2,0.21428571428571427
2023-02-25,SKU001,84,1,25,75.0,5,2,2023,25,1,0,74.0,84.0,106.0,172.0,80.28571428571429,79.85714285714286,12.188988004400857,2,0.21428571428571427
2023-02-26,SKU001,83,0,0,100.0,6,2,2023,26,1,0,84.0,63.0,83.0,134.0,80.28571428571429,78.28571428571429,12.188988004400857,3,0.21428571428571427
2023-02-27,SKU001,94,0,0,100.0,0,2,2023,27,0,0,83.0,85.0,97.0,62.0,83.14285714285714,78.28571428571429,9.511897312113389,4,0.21428571428571427
2023-02-28,SKU001,85,0,0,100.0,1,2,2023,28,0,0,94.0,69.0,77.0,108.0,84.42857142857143,78.07142857142857,10.37396007410126,5,0.21428571428571427
2023-03-01,SKU001,50,0,0,100.0,2,3,2023,1,0,0,85.0,98.0,59.0,67.0,86.71428571428571,78.64285714285714,7.8679579246943945,6,0.21428571428571427
2023-03-02,SKU001,53,0,0,100.0,3,3,2023,2,0,0,50.0,89.0,69.0,73.0,79.85714285714286,78.0,14.507797574966014,7,0.21428571428571427
2023-03-03,SKU001,60,0,0,100.0,4,3,2023,3,0,0,53.0,74.0,65.0,50.0,74.71428571428571,76.85714285714286,16.908718517521102,8,0.21428571428571427
2023-03-04,SKU001,91,0,0,100.0,5,3,2023,4,1,0,60.0,84.0,84.0,80.0,72.71428571428571,76.5,17.811178940151443,9,0.21428571428571427
2023-03-05,SKU001,104,0,0,100.0,6,3,2023,5,1,0,91.0,83.0,63.0,105.0,73.71428571428571,77.0,18.723552776421133,10,0.21428571428571427
2023-03-06,SKU001,55,0,0,100.0,0,3,2023,6,0,0,104.0,94.0,85.0,104.0,76.71428571428571,79.92857142857143,21.876275473019344,11,0.21428571428571427
2023-03-07,SKU001,81,0,0,100.0,1,3,2023,7,0,0,55.0,85.0,69.0,55.0,71.14285714285714,77.78571428571429,21.705825419524043,12,0.21428571428571427
2023-03-08,SKU001,42,0,0,100.0,2,3,2023,8,0,1,81.0,50.0,98.0,71.0,70.57142857142857,78.64285714285714,21.32961277080247,13,0.21428571428571427
2023-03-09,SKU001,101,1,10,90.0,3,3,2023,9,0,0,42.0,53.0,89.0,140.0,69.42857142857143,74.64285714285714,22.780526353716674,13,0.21428571428571427
2023-03-10,SKU001,93,1,20,80.0,4,3,2023,10,0,0,101.0,60.0,74.0,75.0,76.28571428571429,75.5,24.191694757459516,13,0.21428571428571427
2023-03-11,SKU001,162,1,25,75.0,5,3,2023,11,1,0,93.0,91.0,84.0,106.0,81.0,76.85714285714286,23.699507730471236,13,0.21428571428571427
2023-03-12,SKU001,124,0,0,100.0,6,3,2023,12,1,0,162.0,104.0,83.0,83.0,91.14285714285714,82.42857142857143,38.96763003412178,0,0.21428571428571427
2023-03-13,SKU001,62,0,0,100.0,0,3,2023,13,0,0,124.0,55.0,94.0,97.0,94.0,85.35714285714286,40.75945698035406,1,0.21428571428571427
2023-03-14,SKU001,80,0,0,100.0,1,3,2023,14,0,0,62.0,81.0,85.0,77.0,95.0,83.07142857142857,39.71565602295061,2,0.21428571428571427
2023-03-15,SKU001,94,0,0,100.0,2,3,2023,15,0,0,80.0,42.0,50.0,59.0,94.85714285714286,82.71428571428571,39.7761594066453,3,0.21428571428571427
2023-03-16,SKU001,92,0,0,100.0,3,3,2023,16,0,0,94.0,101.0,53.0,69.0,102.28571428571429,85.85714285714286,32.43821966813369,4,0.21428571428571427
2023-03-17,SKU001,48,0,0,100.0,4,3,2023,17,0,0,92.0,93.0,60.0,65.0,101.0,88.64285714285714,32.67516896156264,5,0.21428571428571427
2023-03-18,SKU001,53,0,0,100.0,5,3,2023,18,1,0,48.0,162.0,91.0,84.0,94.57142857142857,87.78571428571429,38.43113816883883,6,0.21428571428571427
2023-03-19,SKU001,75,0,0,100.0,6,3,2023,19,1,0,53.0,124.0,104.0,63.0,79.0,85.07142857142857,26.913441499245913,7,0.21428571428571427
2023-03-20,SKU001,100,0,0,100.0,0,3,2023,20,0,0,75.0,62.0,55.0,85.0,72.0,83.0,18.230011885167045,8,0.21428571428571427
2023-03-21,SKU001,85,0,0,100.0,1,3,2023,21,0,0,100.0,80.0,81.0,69.0,77.42857142857143,86.21428571428571,20.296610085242797,9,0.21428571428571427
2023-03-22,SKU001,80,0,0,100.0,2,3,2023,22,0,0,85.0,94.0,42.0,98.0,78.14285714285714,86.5,20.489253861708153,10,0.21428571428571427
2023-03-23,SKU001,101,1,10,90.0,3,3,2023,23,0,0,80.0,92.0,101.0,89.0,76.14285714285714,89.21428571428571,19.334154333963575,10,0.21428571428571427
2023-03-24,SKU001,80,1,10,90.0,4,3,2023,24,0,0,101.0,48.0,93.0,74.0,77.42857142857143,89.21428571428571,20.807507802530793,10,0.21428571428571427
2023-03-25,SKU001,89,1,20,80.0,5,3,2023,25,1,0,80.0,53.0,162.0,84.0,82.0,88.28571428571429,16.289055630494126,10,0.21428571428571427
2023-03-26,SKU001,108,0,0,100.0,6,3,2023,26,1,0,89.0,75.0,124.0,83.0,87.14285714285714,83.07142857142857,10.123052428797843,11,0.21428571428571427
2023-03-27,SKU001,90,0,0,100.0,0,3,2023,27,0,0,108.0,100.0,62.0,94.0,91.85714285714286,81.92857142857143,11.156889820921881,12,0.21428571428571427
2023-03-28,SKU001,46,0,0,100.0,1,3,2023,28,0,0,90.0,85.0,80.0,85.0,90.42857142857143,83.92857142857143,10.564991605252098,13,0.21428571428571427
2023-03-29,SKU001,47,0,0,100.0,2,3,2023,29,0,0,46.0,80.0,94.0,50.0,84.85714285714286,81.5,19.986900471963875,0,0.21428571428571427
2023-03-30,SKU001,78,0,0,100.0,3,3,2023,30,0,0,47.0,101.0,92.0,53.0,80.14285714285714,78.14285714285714,24.667310158916585,1,0.21428571428571427
2023-03-31,SKU001,70,0,0,100.0,4,3,2023,31,0,0,78.0,80.0,48.0,60.0,76.85714285714286,77.14285714285714,22.894166443503806,2,0.21428571428571427
2023-04-01,SKU001,61,0,0,100.0,5,4,2023,1,1,0,70.0,89.0,53.0,91.0,75.42857142857143,78.71428571428571,22.97721438626492,3,0.21428571428571427
2023-04-02,SKU001,70,0,0,100.0,6,4,2023,2,1,0,61.0,108.0,75.0,104.0,71.42857142857143,79.28571428571429,22.6558097247861,4,0.21428571428571427
2023-04-03,SKU001,93,0,0,100.0,0,4,2023,3,0,0,70.0,90.0,100.0,55.0,66.0,78.92857142857143,16.010413278030363,5,0.21428571428571427
2023-04-04,SKU001,90,0,0,100.0,1,4,2023,4,0,0,93.0,46.0,85.0,81.0,66.42857142857143,78.42857142857143,16.781509098381026,6,0.21428571428571427
2023-04-05,SKU001,69,0,0,100.0,2,4,2023,5,0,0,90.0,47.0,80.0,42.0,72.71428571428571,78.78571428571429,16.08015636029161,7,0.21428571428571427
2023-04-06,SKU001,112,1,15,85.0,3,4,2023,6,0,0,69.0,78.0,101.0,101.0,75.85714285714286,78.0,11.795883059053084,7,0.21428571428571427
2023-04-07,SKU001,119,1,10,90.0,4,4,2023,7,0,0,112.0,70.0,80.0,93.0,80.71428571428571,78.78571428571429,18.12653934349928,7,0.21428571428571427
2023-04-08,SKU001,150,1,20,80.0,5,4,2023,8,1,0,119.0,61.0,89.0,162.0,87.71428571428571,81.57142857142857,22.283882708617636,7,0.21428571428571427
2023-04-09,SKU001,105,0,0,100.0,6,4,2023,9,1,0,150.0,70.0,108.0,124.0,100.42857142857143,85.92857142857143,28.907076082147224,8,0.21428571428571427
2023-04-10,SKU001,84,0,0,100.0,0,4,2023,10,0,0,105.0,93.0,90.0,62.0,105.42857142857143,85.71428571428571,25.60505902393213,9,0.21428571428571427
2023-04-11,SKU001,89,0,0,100.0,1,4,2023,11,0,0,84.0,90.0,46.0,80.0,104.14285714285714,85.28571428571429,26.541970357834987,10,0.21428571428571427
2023-04-12,SKU001,99,0,0,100.0,2,4,2023,12,0,0,89.0,69.0,47.0,94.0,104.0,88.35714285714286,26.633312473917584,11,0.21428571428571427
2023-04-13,SKU001,83,0,0,100.0,3,4,2023,13,0,0,99.0,112.0,78.0,92.0,108.28571428571429,92.07142857142857,22.088566316190892,12,0.21428571428571427
2023-04-14,SKU001,74,0,0,100.0,4,4,2023,14,0,0,83.0,119.0,70.0,48.0,104.14285714285714,92.42857142857143,23.919507878358573,13,0.21428571428571427
2023-04-15,SKU001,97,0,0,100.0,5,4,2023,15,1,0,74.0,150.0,61.0,53.0,97.71428571428571,92.71428571428571,25.269970885844508,0,0.21428571428571427
2023-04-16,SKU001,71,0,0,100.0,6,4,2023,16,1,0,97.0,105.0,70.0,75.0,90.14285714285714,95.28571428571429,10.776959550024172,1,0.21428571428571427
2023-04-17,SKU001,51,0,0,100.0,0,4,2023,17,0,0,71.0,84.0,93.0,100.0,85.28571428571429,95.35714285714286,10.625665245280492,2,0.21428571428571427
2023-04-18,SKU001,71,0,0,100.0,1,4,2023,18,0,0,51.0,89.0,90.0,85.0,80.57142857142857,92.35714285714286,16.811277394030686,3,0.21428571428571427
2023-04-19,SKU001,75,0,0,100.0,2,4,2023,19,0,0,71.0,99.0,69.0,80.0,78.0,91.0,16.68332500832291,4,0.21428571428571427
2023-04-20,SKU001,120,1,20,80.0,3,4,2023,20,0,0,75.0,83.0,112.0,101.0,74.57142857142857,91.42857142857143,13.8787264408175,4,0.21428571428571427
2023-04-21,SKU001,75,1,10,90.0,4,4,2023,21,0,0,120.0,74.0,119.0,80.0,79.85714285714286,92.0,22.184293027790105,4,0.21428571428571427
2023-04-22,SKU001,139,1,20,80.0,5,4,2023,22,1,0,75.0,97.0,150.0,89.0,80.0,88.85714285714286,22.143471573656488,4,0.21428571428571427
2023-04-23,SKU001,78,0,0,100.0,6,4,2023,23,1,0,139.0,71.0,105.0,108.0,86.0,88.07142857142857,31.31027520373038,5,0.21428571428571427
2023-04-24,SKU001,86,0,0,100.0,0,4,2023,24,0,0,78.0,51.0,84.0,90.0,87.0,86.14285714285714,30.859898466024376,6,0.21428571428571427
2023-04-25,SKU001,94,0,0,100.0,1,4,2023,25,0,0,86.0,71.0,89.0,46.0,92.0,86.28571428571429,26.595739007091606,7,0.21428571428571427
2023-04-26,SKU001,90,0,0,100.0,2,4,2023,26,0,0,94.0,75.0,99.0,47.0,95.28571428571429,86.64285714285714,24.938018403729735,8,0.21428571428571427
2023-04-27,SKU001,64,0,0,100.0,3,4,2023,27,0,0,90.0,120.0,83.0,78.0,97.42857142857143,86.0,23.507850765628255,9,0.21428571428571427
2023-04-28,SKU001,77,0,0,100.0,4,4,2023,28,0,0,64.0,75.0,74.0,70.0,89.42857142857143,84.64285714285714,24.06835503904898,10,0.21428571428571427
2023-04-29,SKU001,57,0,0,100.0,5,4,2023,29,1,0,77.0,139.0,97.0,61.0,89.71428571428571,84.85714285714286,23.879658608072592,11,0.21428571428571427
2023-04-30,SKU001,111,0,0,100.0,6,4,2023,30,1,0,57.0,78.0,71.0,70.0,78.0,82.0,13.552367566837379,12,0.21428571428571427
2023-05-01,SKU001,87,0,0,100.0,0,5,2023,1,0,1,111.0,86.0,51.0,93.0,82.71428571428571,84.85714285714286,18.418417283743324,13,0.21428571428571427
2023-05-02,SKU001,84,0,0,100.0,1,5,2023,2,0,0,87.0,94.0,71.0,90.0,82.85714285714286,87.42857142857143,18.45199692380719,0,0.21428571428571427
2023-05-03,SKU001,60,0,0,100.0,2,5,2023,3,0,0,84.0,90.0,75.0,69.0,81.42857142857143,88.35714285714286,17.82186992487172,1,0.21428571428571427
2023-05-04,SKU001,115,1,20,80.0,3,5,2023,4,0,0,60.0,64.0,120.0,112.0,77.14285714285714,87.28571428571429,18.9862105349169,1,0.21428571428571427
2023-05-05,SKU001,120,1,15,85.0,4,5,2023,5,0,0,115.0,77.0,75.0,119.0,84.42857142857143,86.92857142857143,22.552584056356984,1,0.21428571428571427
2023-05-06,SKU001,85,1,10,90.0,5,5,2023,6,1,0,120.0,57.0,139.0,150.0,90.57142857142857,90.14285714285714,25.81251080940625,1,0.21428571428571427
2023-05-07,SKU001,56,0,0,100.0,6,5,2023,7,1,0,85.0,111.0,78.0,105.0,94.57142857142857,86.28571428571429,21.562754484350585,2,0.21428571428571427
2023-05-08,SKU001,96,0,0,100.0,0,5,2023,8,0,0,56.0,87.0,86.0,84.0,86.71428571428571,84.71428571428571,24.411160601347113,3,0.21428571428571427
2023-05-09,SKU001,79,0,0,100.0,1,5,2023,9,0,0,96.0,84.0,94.0,89.0,88.0,85.42857142857143,24.664414311581233,4,0.21428571428571427
2023-05-10,SKU001,75,0,0,100.0,2,5,2023,10,0,0,79.0,60.0,90.0,99.0,87.28571428571429,84.35714285714286,24.871096247882367,5,0.21428571428571427
2023-05-11,SKU001,108,0,0,100.0,3,5,2023,11,0,0,75.0,115.0,64.0,83.0,89.42857142857143,83.28571428571429,22.677868380553633,6,0.21428571428571427
2023-05-12,SKU001,90,0,0,100.0,4,5,2023,12,0,0,108.0,120.0,77.0,74.0,88.42857142857143,86.42857142857143,21.48532167827718,7,0.21428571428571427
2023-05-13,SKU001,90,0,0,100.0,5,5,2023,13,1,0,90.0,85.0,57.0,97.0,84.14285714285714,87.35714285714286,16.5673229725321,8,0.21428571428571427
2023-05-14,SKU001,73,0,0,100.0,6,5,2023,14,1,0,90.0,56.0,111.0,71.0,84.85714285714286,89.71428571428571,16.717541400462867,9,0.21428571428571427
2023-05-15,SKU001,97,0,0,100.0,0,5,2023,15,0,0,73.0,96.0,87.0,51.0,87.28571428571429,87.0,12.539461521058033,10,0.21428571428571427
2023-05-16,SKU001,105,0,0,100.0,1,5,2023,16,0,0,97.0,79.0,84.0,71.0,87.42857142857143,87.71428571428571,12.660399452059721,11,0.21428571428571427
2023-05-17,SKU001,61,0,0,100.0,2,5,2023,17,0,0,105.0,75.0,60.0,75.0,91.14285714285714,89.21428571428571,13.557637102737486,12,0.21428571428571427
2023-05-18,SKU001,114,1,15,85.0,3,5,2023,18,0,0,61.0,108.0,115.0,120.0,89.14285714285714,89.28571428571429,16.945290116809957,12,0.21428571428571427
2023-05-19,SKU001,110,1,15,85.0,4,5,2023,19,0,0,114.0,90.0,120.0,75.0,90.0,89.21428571428571,18.165902124584953,12,0.21428571428571427
2023-05-20,SKU001,143,1,10,90.0,5,5,2023,20,1,0,110.0,90.0,85.0,139.0,92.85714285714286,88.5,19.675946156229887,12,0.21428571428571427
2023-05-21,SKU001,100,0,0,100.0,6,5,2023,21,1,0,143.0,73.0,56.0,78.0,100.42857142857143,92.64285714285714,27.165278959590722,13,0.21428571428571427
2023-05-22,SKU001,50,0,0,100.0,0,5,2023,22,0,0,100.0,97.0,96.0,86.0,104.28571428571429,95.78571428571429,24.39750182371337,0,0.21428571428571427
2023-05-23,SKU001,59,0,0,100.0,1,5,2023,23,0,0,50.0,105.0,79.0,94.0,97.57142857142857,92.5,32.01487749394619,1,0.21428571428571427
2023-05-24,SKU001,74,0,0,100.0,2,5,2023,24,0,0,59.0,61.0,75.0,90.0,91.0,91.07142857142857,34.83293460696836,2,0.21428571428571427
2023-05-25,SKU001,99,0,0,100.0,3,5,2023,25,0,0,74.0,114.0,108.0,64.0,92.85714285714286,91.0,33.27876485803208,3,0.21428571428571427
2023-05-26,SKU001,67,0,0,100.0,4,5,2023,26,0,0,99.0,110.0,90.0,77.0,90.71428571428571,90.35714285714286,32.15438946558871,4,0.21428571428571427
2023-05-27,SKU001,94,0,0,100.0,5,5,2023,27,1,0,67.0,143.0,90.0,57.0,84.57142857142857,88.71428571428571,31.962775968602088,5,0.21428571428571427
2023-05-28,SKU001,85,0,0,100.0,6,5,2023,28,1,0,94.0,100.0,73.0,111.0,77.57142857142857,89.0,20.255510714018378,6,0.21428571428571427
2023-05-29,SKU001,56,0,0,100.0,0,5,2023,29,0,0,85.0,50.0,97.0,87.0,75.42857142857143,89.85714285714286,18.173764450044825,7,0.21428571428571427
2023-05-30,SKU001,56,0,0,100.0,1,5,2023,30,0,0,56.0,59.0,105.0,84.0,76.28571428571429,86.92857142857143,16.869245050429118,8,0.21428571428571427
2023-05-31,SKU001,79,0,0,100.0,2,5,2023,31,0,0,56.0,74.0,61.0,60.0,75.85714285714286,83.42857142857143,17.410998166183806,9,0.21428571428571427
2023-06-01,SKU001,86,1,25,75.0,3,6,2023,1,0,0,79.0,99.0,114.0,115.0,76.57142857142857,84.71428571428571,17.424667790780013,9,0.21428571428571427
2023-06-02,SKU001,78,1,20,80.0,4,6,2023,2,0,0,86.0,67.0,110.0,120.0,74.71428571428571,82.71428571428571,15.18457864319676,9,0.21428571428571427
2023-06-03,SKU001,110,1,10,90.0,5,6,2023,3,1,0,78.0,94.0,143.0,85.0,76.28571428571429,80.42857142857143,14.817942791475051,9,0.21428571428571427
2023-06-04,SKU001,83,0,0,100.0,6,6,2023,4,1,0,110.0,85.0,100.0,56.0,78.57142857142857,78.07142857142857,18.724824368176243,10,0.21428571428571427
2023-06-05,SKU001,30,0,0,100.0,0,6,2023,5,0,0,83.0,56.0,50.0,96.0,78.28571428571429,76.85714285714286,18.625379510355245,11,0.21428571428571427
2023-06-06,SKU001,36,0,0,100.0,1,6,2023,6,0,0,30.0,56.0,59.0,79.0,74.57142857142857,75.42857142857143,25.231310858119247,12,0.21428571428571427
2023-06-07,SKU001,56,0,0,100.0,2,6,2023,7,0,0,36.0,79.0,74.0,75.0,71.71428571428571,73.78571428571429,28.593205986237827,13,0.21428571428571427
2023-06-08,SKU001,55,0,0,100.0,3,6,2023,8,0,0,56.0,86.0,99.0,108.0,68.42857142857143,72.5,28.935889726872265,0,0.21428571428571427
2023-06-09,SKU001,52,0,0,100.0,4,6,2023,9,0,0,55.0,78.0,67.0,90.0,64.0,69.35714285714286,28.160255680657396,1,0.21428571428571427
2023-06-10,SKU001,66,0,0,100.0,5,6,2023,10,1,0,52.0,110.0,94.0,90.0,60.285714285714285,68.28571428571429,27.717108349142265,2,0.21428571428571427
2023-06-11,SKU001,54,0,0,100.0,6,6,2023,11,1,0,66.0,83.0,85.0,73.0,54.0,66.28571428571429,17.767010628315127,3,0.21428571428571427
2023-06-12,SKU001,67,0,0,100.0,0,6,2023,12,0,0,54.0,30.0,56.0,97.0,49.857142857142854,64.07142857142857,12.469009201864676,4,0.21428571428571427
2023-06-13,SKU001,62,0,0,100.0,1,6,2023,13,0,0,67.0,36.0,56.0,105.0,55.142857142857146,64.85714285714286,10.302565561201408,5,0.21428571428571427
2023-06-14,SKU001,45,0,0,100.0,2,6,2023,14,0,0,62.0,56.0,79.0,61.0,58.857142857142854,65.28571428571429,6.067085281213741,6,0.21428571428571427
